run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
CONT_s10_bola_BigBuckBunny,1,99,99,1.19092,1.795667,0.355973,18.803914,26.898612,52.346388,0.949367,12,132.186342,176.681343,33.525401,1506756,1264,4,2785280,202,0.0,0.179252,1.101298,18.803914,1.603438,3.206895,1.081379,1.177185,18.803914,Good
CONT_s10_bola_BigBuckBunny,2,99,71,0.953566,1.884529,0.0,18.803914,24.949278,83.618679,1.432958,14,123.413228,156.757043,37.561281,1207287,977,4,3992567,-287,0.282828,-0.237354,1.05207,1.652813,1.069807,0.303878,0.906371,0.800697,0.948761,Good
CONT_s10_bola_BigBuckBunny,3,98,98,1.081699,0.119491,0.751094,1.317473,41.093917,84.578204,0.0,0,116.001635,161.186787,35.297696,1361321,1322,5,5353888,345,0.0,0.128133,1.05946,1.189864,1.08112,0.11466,1.020991,1.134372,1.189864,Good
CONT_s10_bola_BigBuckBunny,4,98,98,1.083636,0.11563,0.937274,1.223759,39.059908,73.62237,0.0,0,107.51546,137.05747,31.799303,1366704,1352,6,6720592,30,0.0,0.001937,1.064284,1.188705,1.08416,0.114271,1.018183,1.001791,1.186395,Degraded
CONT_s10_bola_BigBuckBunny,5,98,50,0.543021,0.554483,0.0,1.642335,15.689858,54.133437,0.0,0,71.374222,145.418715,26.869527,684520,649,2,7405112,-703,0.5,-0.540615,0.977506,1.642335,0.363929,0.537612,0.555517,0.50111,0.0,Degraded
CONT_s10_bola_BigBuckBunny,6,98,38,0.359725,0.502217,0.0,1.677121,28.466811,131.035017,0.536193,2,118.151181,170.333801,50.426846,453772,373,2,7858884,-276,0.612245,-0.183296,0.889361,1.222391,0.244007,0.425286,0.404476,0.662451,0.586563,Degraded
CONT_s10_bola_BigBuckBunny,7,98,98,0.849349,0.166311,0.352868,1.28838,46.39986,100.792167,0.101317,1,136.725982,204.170846,43.945381,1075933,987,5,8934817,614,0.0,0.489624,0.884343,1.017408,0.846348,0.109193,0.960429,2.361106,0.944526,Degraded
CONT_s10_bola_BigBuckBunny,8,98,98,0.847971,0.20271,0.467336,1.397992,46.940631,97.805617,0.0,0,149.208975,211.922058,44.655674,1075180,949,4,10009997,-38,0.0,-0.001378,0.880285,1.397992,0.862673,0.215578,0.963291,0.998378,1.288665,Good
CONT_s10_bola_BigBuckBunny,9,97,82,0.709493,0.389219,0.0,1.403362,22.439389,36.214034,0.0,0,138.159413,184.358702,43.018872,890182,737,2,10900179,-212,0.164948,-0.138478,0.863312,1.403362,0.485245,0.477065,0.821827,0.836695,0.0,Good
CONT_s10_bola_BigBuckBunny,10,98,78,0.534402,0.356372,0.0,1.402052,38.179274,63.324765,2.268761,13,179.075925,250.87898,67.5419,677267,573,2,11577446,-164,0.204082,-0.175091,0.833287,1.199149,0.521714,0.281747,0.641318,0.753217,0.588887,Good
