run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s13_throughput_ElephantsDream,0,0.0,3.4074,6.953,Critical
CONT_s13_throughput_ElephantsDream,1,10.0,2.3759,0,Degraded
CONT_s13_throughput_ElephantsDream,2,20.0,2.8302,0,Degraded
CONT_s13_throughput_ElephantsDream,3,30.0,2.8023,0,Degraded
CONT_s13_throughput_ElephantsDream,4,40.0,2.44,0,Degraded
CONT_s13_throughput_ElephantsDream,5,50.0,1.5803,0,Critical
CONT_s13_throughput_ElephantsDream,6,60.0,2.3806,0,Degraded
CONT_s13_throughput_ElephantsDream,7,70.0,2.7487,0,Degraded
CONT_s13_throughput_ElephantsDream,8,80.0,2.7487,0,Degraded
CONT_s13_throughput_ElephantsDream,9,90.0,2.8051,0,Degraded
CONT_s13_throughput_ElephantsDream,10,100.0,2.8779,0,Degraded
CONT_s13_throughput_ElephantsDream,11,110.0,2.8422,0,Degraded
CONT_s13_throughput_ElephantsDream,12,120.0,2.8422,0,Degraded
CONT_s13_throughput_ElephantsDream,13,130.0,3.6095,0,Good
CONT_s13_throughput_ElephantsDream,14,140.0,3.2683,0,Good
CONT_s13_throughput_ElephantsDream,15,150.0,2.9367,0,Degraded
CONT_s13_throughput_ElephantsDream,16,160.0,2.9367,0,Degraded
CONT_s13_throughput_ElephantsDream,17,170.0,3.3512,0,Good
CONT_s13_throughput_ElephantsDream,18,180.0,3.7729,0,Good
CONT_s13_throughput_ElephantsDream,19,190.0,3.7776,0,Good
CONT_s13_throughput_ElephantsDream,20,200.0,3.7657,0,Good
CONT_s13_throughput_ElephantsDream,21,210.0,3.7657,0,Good
CONT_s13_throughput_ElephantsDream,22,220.0,4.2127,0,Excellent
CONT_s13_throughput_ElephantsDream,23,230.0,4.1395,0,Excellent
CONT_s13_throughput_ElephantsDream,24,240.0,4.3552,0,Excellent
CONT_s13_throughput_ElephantsDream,25,250.0,4.3552,0,Excellent
CONT_s13_throughput_ElephantsDream,26,260.0,4.375,0,Excellent
CONT_s13_throughput_ElephantsDream,27,270.0,4.318,0,Excellent
CONT_s13_throughput_ElephantsDream,28,280.0,4.3552,0,Excellent
CONT_s13_throughput_ElephantsDream,29,290.0,4.3552,0,Excellent
